codigos,nome,classe,qtd,part
RRRP3,3R PETROLEUM,ON      NM,235665566,0.308
ALOS3,ALLOS,ON      NM,532616595,0.596
ALPA4,ALPARGATAS,PN      N1,176733968,0.07
ABEV3,AMBEV S/A,ON,4394245879,2.638
ARZZ3,AREZZO CO,ON      NM,62305891,0.164
ASAI3,ASSAI,ON      NM,1349217892,0.847
AZUL4,AZUL,PN      N2,327593725,0.213
B3SA3,B3,ON      NM,5602790110,3.369
BBSE3,BBSEGURIDADE,ON      NM,671750768,1.031
BBDC3,BRADESCO,ON      N1,1500728902,0.939
BBDC4,BRADESCO,PN      N1,5146576868,3.633
BRAP4,BRADESPAR,PN      N1,251003438,0.265
BBAS3,BRASIL,ON      NM,1420949112,3.682
BRKM5,BRASKEM,PNA     N1,265877867,0.224
BRFS3,BRF SA,ON      NM,1677525446,1.115
BPAC11,BTGP BANCO,UNT     N2,1150645866,1.938
CRFB3,CARREFOUR BR,ON      NM,533990587,0.26
BHIA3,CASAS BAHIA,ON      NM,94843047,0.038
CCRO3,CCR SA,ON      NM,995335937,0.6
CMIG4,CEMIG,PN      N1,1437415777,0.761
CIEL3,CIELO,ON      NM,1095462329,0.244
COGN3,COGNA ON,ON      NM,1814920980,0.25
CPLE6,COPEL,PNB     N2,1679335290,0.769
CSAN3,COSAN,ON      NM,1168097881,0.987
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.317
CMIN3,CSNMINERACAO,ON      N2,1110559345,0.344
CVCB3,CVC BRASIL,ON      NM,525582771,0.073
CYRE3,CYRELA REALT,ON      NM,265784616,0.276
DXCO3,DEXCO,ON      NM,302768240,0.108
ELET3,ELETROBRAS,ON      N1,1980568384,3.681
ELET6,ELETROBRAS,PNB     N1,268544014,0.562
EMBR3,EMBRAER,ON      NM,734632705,0.748
ENGI11,ENERGISA,UNT     N2,290386402,0.659
ENEV3,ENEVA,ON      NM,1579130168,0.925
EGIE3,ENGIE BRASIL,ON      NM,255236961,0.476
EQTL3,EQUATORIAL,ON      NM,1095587251,1.76
EZTC3,EZTEC,ON      NM,91514307,0.066
FLRY3,FLEURY,ON      NM,240822651,0.181
GGBR4,GERDAU,PN      N1,1118525506,1.111
GOAU4,GERDAU MET,PN      N1,660411219,0.303
GOLL4,GOL,PN      N2,198184909,0.053
NTCO3,GRUPO NATURA,ON      NM,846244302,0.615
SOMA3,GRUPO SOMA,ON      NM,496029967,0.157
HAPV3,HAPVIDA,ON      NM,4394332306,0.785
HYPE3,HYPERA,ON      NM,409490388,0.579
IGTI11,IGUATEMI S.A,UNT     N1,217622138,0.233
IRBR3,IRBBRASIL RE,ON      NM,81838843,0.151
ITSA4,ITAUSA,PN      N1,5372783971,2.446
ITUB4,ITAUUNIBANCO,PN      N1,4801593832,7.166
JBSS3,JBS,ON      NM,1134986472,1.256
KLBN11,KLABIN S/A,UNT     N2,706747385,0.705
RENT3,LOCALIZA,ON      NM,853202347,2.182
LREN3,LOJAS RENNER,ON      NM,951329770,0.683
LWSA3,LWSA,ON      NM,393173139,0.099
MGLU3,MAGAZ LUIZA,ON      NM,2867627068,0.272
MRFG3,MARFRIG,ON      NM,331799687,0.147
BEEF3,MINERVA,ON      NM,261036182,0.085
MRVE3,MRV,ON      NM,376187582,0.138
MULT3,MULTIPLAN,ON      N2,268505432,0.344
PCAR3,P.ACUCAR-CBD,ON      NM,159430826,0.03
PETR3,PETROBRAS,ON      N2,2379877655,4.542
PETR4,PETROBRAS,PN      N2,4566445852,8.3
RECV3,PETRORECSA,ON      NM,275005663,0.298
PRIO3,PETRORIO,ON      NM,800010734,1.663
PETZ3,PETZ,ON      NM,309729428,0.048
RADL3,RAIADROGASIL,ON      NM,1275798515,1.518
RAIZ4,RAIZEN,PN      N2,1193047233,0.203
RDOR3,REDE D OR,ON      NM,1168230366,1.464
RAIL3,RUMO S.A.,ON      NM,1218352541,1.255
SBSP3,SABESP,ON      NM,340001799,1.191
SANB11,SANTANDER BR,UNT EJ,342918449,0.458
SMTO3,SAO MARTINHO,ON      NM,142377330,0.183
CSNA3,SID NACIONAL,ON,600865451,0.496
SLCE3,SLC AGRICOLA,ON      NM,195751130,0.172
SUZB3,SUZANO S.A.,ON      NM,683452836,1.645
TAEE11,TAESA,UNT     N2,218568234,0.367
VIVT3,TELEF BRASIL,ON,423091712,0.985
TIMS3,TIM,ON      NM,807896814,0.644
TOTS3,TOTVS,ON      NM,514122351,0.722
TRPL4,TRAN PAULIST,PN      N1,395801044,0.47
UGPA3,ULTRAPAR,ON      NM,1086411192,1.399
USIM5,USIMINAS,PNA     N1,515117391,0.223
VALE3,VALE,ON      NM,4196924316,13.267
VAMO3,VAMOS,ON      NM,421383330,0.157
VBBR3,VIBRA,ON      NM,1114412532,1.177
WEGE3,WEG,ON      NM,1481593024,2.235
YDUQ3,YDUQS PART,ON      NM,289347914,0.261
